date,ticpe_goudron_combustible,ticpe_white_spirit_combustible,ticpe_essences_speciales,ticpe_huiles_legeres_ess_avion,ticpe_sp95_sp98,ticpe_super_additif,ticpe_super_e10,ticpe_essence_normale,ticpe_carbu_petrole_lampant_cond,ticpe_carbu_petrole_lampant,ticpe_carbu_petrole_lampant_autres,ticpe_autres_huiles_moyennes,ticpe_gazole_cond,ticpe_fioul_domestique,maj_ticpe_die_als,maj_ticpe_die_aqui,maj_ticpe_die_auv,maj_ticpe_die_b_n,maj_ticpe_die_bourg,maj_ticpe_die_bre,maj_ticpe_die_cen,maj_ticpe_die_ch_ar,maj_ticpe_die_cor,maj_ticpe_die_f_c,maj_ticpe_die_h_n,maj_ticpe_die_idf,maj_ticpe_die_l_r,maj_ticpe_die_lim,maj_ticpe_die_lor,maj_ticpe_die_m_p,maj_ticpe_die_n_cal,maj_ticpe_die_p_loi,maj_ticpe_die_pic,maj_ticpe_die_p_c,maj_ticpe_die_r_a,maj_ticpe_die_paca,ticpe_diesel,ticpe_fioul_lourd,ticpe_fioul_lourd_cond,ticpe_fioul_lourd_hts,ticpe_fioul_lourd_bts,ticpe_propane_cond,ticpe_propane_autres,ticpe_butane_cond,ticpe_butane_autres,ticpe_autres_gaz_liq_cond,ticpe_autres_gaz_liq_autres,ticpe_gaz_naturels_gazeux,ticpe_gaz_naturels_gazeux_cond,maj_ticpe_super_als,maj_ticpe_super_aqui,maj_ticpe_super_auv,maj_ticpe_super_b_n,maj_ticpe_super_bourg,maj_ticpe_super_bre,maj_ticpe_super_cen,maj_ticpe_super_ch_ar,maj_ticpe_super_cor,maj_ticpe_super_f_c,maj_ticpe_super_h_n,maj_ticpe_super_idf,maj_ticpe_super_l_r,maj_ticpe_super_lim,maj_ticpe_super_lor,maj_ticpe_super_m_p,maj_ticpe_super_n_cal,maj_ticpe_super_p_loi,maj_ticpe_super_pic,maj_ticpe_super_p_c,maj_ticpe_super_r_a,maj_ticpe_super_paca,tgap_super95,tgap_super98,tgap_ars,tgap_e10,tgap_e85,tgap_gazole,tgap_b30,ticpe_emulsion_eau_gazole_cond,ticpe_emulsion_eau_gazole_autres,ticpe_super_e85,ticpe_carburant_ethanol_agricole,tx_spec_cigarettes,tx_spec_cigares,tx_spec_tabac_rouler,tx_spec_autres_tabac,tx_spec_tabac_priser,tx_spec_tabac_chiquer,tx_cigarettes,tx_cigares,tx_tabac_rouler,tx_autres_tabac,tx_tabac_priser,tx_tabac_chiquer,tx_reduit,tx_inter,tx_normal,tx_maj,tx_superreduit,tx_reduit2,tx_majtempo,fgao_contrib_assures,fgao_respo_accidents_non_assures_tx_normal,fgao_respo_accidents_non_assures_tx_reduit,fgao_contrib_assurances,taxe_assu_incendie_particuliers,taxe_assu_incendie_agricole,taxe_assu_incendie_caisse_dep,taxe_assu_incendie_industrie,taxe_assu_maladie_solidaire_responsable,taxe_assu_maladie_autres,taxe_assu_bateaux_sport_plaisance,taxe_assu_navig_fluviale_aerienne,taxe_assu_vie_et_assimiliees,taxe_rente_viagere_cond,taxe_assu_credit_export,contrib_secu_assu_auto,taxe_assu_vtm_particuliers,taxe_assu_protec_juridique,taxe_assu_vtm_lourds,taxe_assu_vtm_autres,taxe_autres_assu,taxe_rhum_dom,taxe_autres_alcools,taxe_bouilleurs_cru,taxe_ajout_vins,taxe_aperitifs_base_divers_alcools,droit_boiss_non_alcool,cotis_secu_alcool,coti_secu_alcool_tx_plein,coti_secu_alcool_inter_tx_plein,taxe_premix_decil_pur,taxe_premix_decil_tot,taxe_vins_mousseux,taxe_vins_tranquilles,taxe_boiss_fermen_sauf_vin_biere,taxe_cidre_poire_hydromel,exoneration_taxe_vins,exoneration_taxe_petillants,taxe_boiss_sucrees_1kg,taxe_boiss_sucrees_2kg,taxe_boiss_sucrees_3kg,taxe_boiss_sucrees_4kg,taxe_boiss_sucrees_5kg,taxe_boiss_sucrees_6kg,taxe_boiss_sucrees_7kg,taxe_boiss_sucrees_8kg,taxe_boiss_sucrees_9kg,taxe_boiss_sucrees_10kg,taxe_boiss_sucrees_11kg,taxe_boiss_sucrees_12kg,taxe_boiss_sucrees_13kg,taxe_boiss_sucrees_14kg,taxe_boiss_sucrees_15kg,taxe_boiss_sucrees_kg_sup_15kg,taxe_vdn_vdl,taxe_autres_produits_inter_alcool,taxe_boiss_sucrees_edulcorees,taxe_boiss_sucrees_edulcorees_mayotte,taxe_boiss_edulcorees,taxe_boiss_sucrees,taxe_boiss_energie,taxe_bieres_inf_28,taxe_biere_sup_28,taxe_bieres_inf_46,taxe_autres_bieres,taxe_brasserie_inf_10,taxe_brasserie_10_50,taxe_brasserie_50_200,cspe,cta,ticgn,ctssg,plafond_tcfe
1998-08,1.21,,60.21,31.91,58.58,62.73,,60.21,2.22,,,,7.78,,,,,,,,,,,,,,,,,,,,,,,,36.71,,,2.29,1.66,,,,,3.94,10.67,9.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,,0.23,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
1998-09,1.21,,60.21,31.91,58.58,62.73,,60.21,2.22,,,,7.78,,,,,,,,,,,,,,,,,,,,,,,,36.71,,,2.29,1.66,,,,,3.94,10.67,9.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,,0.23,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
1998-10,1.21,,60.21,31.91,58.58,62.73,,60.21,2.22,,,,7.78,,,,,,,,,,,,,,,,,,,,,,,,36.71,,,2.29,1.66,,,,,3.94,10.67,9.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,,0.23,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
1998-11,1.21,,60.21,31.91,58.58,62.73,,60.21,2.22,,,,7.78,,,,,,,,,,,,,,,,,,,,,,,,36.71,,,2.29,1.66,,,,,3.94,10.67,9.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,,0.23,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
1998-12,1.21,,60.21,31.91,58.58,62.73,,60.21,2.22,,,,7.78,,,,,,,,,,,,,,,,,,,,,,,,36.71,,,2.29,1.66,,,,,3.94,10.67,9.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,,0.23,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
1999-01,1.22,,60.81,32.2,58.63,63.34,,60.81,2.24,,,,7.85,,,,,,,,,,,,,,,,,,,,,,,,37.83,,,2.31,1.67,,,,,3.94,10.02,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,,0.23,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
1999-02,1.22,,60.81,32.2,58.63,63.34,,60.81,2.24,,,,7.85,,,,,,,,,,,,,,,,,,,,,,,,37.83,,,2.31,1.67,,,,,3.94,10.02,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,,0.23,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
1999-03,1.22,,60.81,32.2,58.63,63.34,,60.81,2.24,,,,7.85,,,,,,,,,,,,,,,,,,,,,,,,37.83,,,2.31,1.67,,,,,3.94,10.02,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,,0.23,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
1999-04,1.22,,60.81,32.2,58.63,63.34,,60.81,2.24,,,,7.85,,,,,,,,,,,,,,,,,,,,,,,,37.83,,,2.31,1.67,,,,,3.94,10.02,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,5.55,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
1999-05,1.22,,60.81,32.2,58.63,63.34,,60.81,2.24,,,,7.85,,,,,,,,,,,,,,,,,,,,,,,,37.83,,,2.31,1.67,,,,,3.94,10.02,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,5.55,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
1999-06,1.22,,60.81,32.2,58.63,63.34,,60.81,2.24,,,,7.85,,,,,,,,,,,,,,,,,,,,,,,,37.83,,,2.31,1.67,,,,,3.94,10.02,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,5.55,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
1999-07,1.22,,60.81,32.2,58.63,63.34,,60.81,2.24,,,,7.85,,,,,,,,,,,,,,,,,,,,,,,,37.83,,,2.31,1.67,,,,,3.94,10.02,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,5.55,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
1999-08,1.22,,60.81,32.2,58.63,63.34,,60.81,2.24,,,,7.85,,,,,,,,,,,,,,,,,,,,,,,,37.83,,,2.31,1.67,,,,,3.94,10.02,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,5.55,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
1999-09,1.22,,60.81,32.2,58.63,63.34,,60.81,2.24,,,,7.85,,,,,,,,,,,,,,,,,,,,,,,,37.83,,,2.31,1.67,,,,,3.94,10.02,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,5.55,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
1999-10,1.22,,60.81,32.2,58.63,63.34,,60.81,2.24,,,,7.85,,,,,,,,,,,,,,,,,,,,,,,,37.83,,,2.31,1.67,,,,,3.94,10.02,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,5.55,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
1999-11,1.22,,60.81,32.2,58.63,63.34,,60.81,2.24,,,,7.85,,,,,,,,,,,,,,,,,,,,,,,,37.83,,,2.31,1.67,,,,,3.94,10.02,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,5.55,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
1999-12,1.22,,60.81,32.2,58.63,63.34,,60.81,2.24,,,,7.85,,,,,,,,,,,,,,,,,,,,,,,,37.83,,,2.31,1.67,,,,,3.94,10.02,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,5.55,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
2000-01,1.22,7.89,58.63,32.36,58.63,63.67,,,2.25,38.9,,38.9,7.89,,,,,,,,,,,,,,,,,,,,,,,,38.9,,38.9,2.32,1.68,3.94,10.02,3.94,10.02,3.94,10.02,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.23,30.33,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,5.55,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
2000-02,1.22,7.89,58.63,32.36,58.63,63.67,,,2.25,38.9,,38.9,7.89,,,,,,,,,,,,,,,,,,,,,,,,38.9,,38.9,2.32,1.68,3.94,10.02,3.94,10.02,3.94,10.02,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.23,30.33,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,5.55,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
2000-03,1.22,7.89,58.63,32.36,58.63,63.67,,,2.25,38.9,,38.9,7.89,,,,,,,,,,,,,,,,,,,,,,,,38.9,,38.9,2.32,1.68,3.94,10.02,3.94,10.02,3.94,10.02,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.23,30.33,,,0.05,,,,,,0.583,0.2886,0.51,0.4674,0.402,0.2747,0.055,,0.206,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,5.55,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
2000-04,1.22,7.89,58.63,32.36,58.63,63.67,,,2.25,38.9,,38.9,7.89,,,,,,,,,,,,,,,,,,,,,,,,38.9,,38.9,2.32,1.68,3.94,10.02,3.94,10.02,3.94,10.02,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.23,30.33,,,0.05,,,,,,0.5899,0.2955,0.5169,0.4743,0.4089,0.2816,0.055,,0.196,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,5.55,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
2000-05,1.22,7.89,58.63,32.36,58.63,63.67,,,2.25,38.9,,38.9,7.89,,,,,,,,,,,,,,,,,,,,,,,,38.9,,38.9,2.32,1.68,3.94,10.02,3.94,10.02,3.94,10.02,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.23,30.33,,,0.05,,,,,,0.5899,0.2955,0.5169,0.4743,0.4089,0.2816,0.055,,0.196,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,5.55,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
2000-06,1.22,7.89,58.63,32.36,58.63,63.67,,,2.25,38.9,,38.9,7.89,,,,,,,,,,,,,,,,,,,,,,,,38.9,,38.9,2.32,1.68,3.94,10.02,3.94,10.02,3.94,10.02,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.23,30.33,,,0.05,,,,,,0.5899,0.2955,0.5169,0.4743,0.4089,0.2816,0.055,,0.196,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,5.55,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
2000-07,1.22,7.89,58.63,32.36,58.63,63.67,,,2.25,38.9,,38.9,7.89,,,,,,,,,,,,,,,,,,,,,,,,38.9,,38.9,2.32,1.68,3.94,10.02,3.94,10.02,3.94,10.02,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.23,30.33,,,0.05,,,,,,0.5899,0.2955,0.5169,0.4743,0.4089,0.2816,0.055,,0.196,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,5.55,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
2000-08,1.22,7.89,58.63,32.36,58.63,63.67,,,2.25,38.9,,38.9,7.89,,,,,,,,,,,,,,,,,,,,,,,,38.9,,38.9,2.32,1.68,3.94,10.02,3.94,10.02,3.94,10.02,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.23,30.33,,,0.05,,,,,,0.5899,0.2955,0.5169,0.4743,0.4089,0.2816,0.055,,0.196,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,5.55,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
2000-09,1.22,7.89,58.63,32.36,58.63,63.67,,,2.25,38.9,,38.9,7.89,,,,,,,,,,,,,,,,,,,,,,,,38.9,,38.9,2.32,1.68,3.94,10.02,3.94,10.02,3.94,10.02,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.23,30.33,,,0.05,,,,,,0.5899,0.2955,0.5169,0.4743,0.4089,0.2816,0.055,,0.196,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,5.55,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
2000-10,1.22,7.89,58.63,32.36,58.63,63.67,,,2.25,38.9,,38.9,7.89,,,,,,,,,,,,,,,,,,,,,,,,38.9,,38.9,2.32,1.68,3.94,10.02,3.94,10.02,3.94,10.02,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.23,30.33,,,0.05,,,,,,0.5899,0.2955,0.5169,0.4743,0.4089,0.2816,0.055,,0.196,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,5.55,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
2000-11,1.22,7.89,58.63,32.36,58.63,63.67,,,2.25,38.9,,38.9,7.89,,,,,,,,,,,,,,,,,,,,,,,,38.9,,38.9,2.32,1.68,3.94,10.02,3.94,10.02,3.94,10.02,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.23,30.33,,,0.05,,,,,,0.5899,0.2955,0.5169,0.4743,0.4089,0.2816,0.055,,0.196,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,5.55,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
2000-12,1.22,7.89,58.63,32.36,58.63,63.67,,,2.25,38.9,,38.9,7.89,,,,,,,,,,,,,,,,,,,,,,,,38.9,,38.9,2.32,1.68,3.94,10.02,3.94,10.02,3.94,10.02,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.23,30.33,,,0.05,,,,,,0.5899,0.2955,0.5169,0.4743,0.4089,0.2816,0.055,,0.196,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,5.55,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
2001-01,1.22,7.89,58.63,32.36,58.63,63.67,,,2.25,38.9,,38.9,7.89,,,,,,,,,,,,,,,,,,,,,,,,38.9,,38.9,2.32,1.68,3.94,10.02,3.94,10.02,3.94,10.02,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.23,30.33,,,0.05,,,,,,0.5899,0.2955,0.5169,0.4743,0.4089,0.2816,0.055,,0.196,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,5.55,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
2001-02,1.22,7.89,58.63,32.36,58.63,63.67,,,2.25,38.9,,38.9,7.89,,,,,,,,,,,,,,,,,,,,,,,,38.9,,38.9,2.32,1.68,3.94,10.02,3.94,10.02,3.94,10.02,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.23,30.33,,,0.05,,,,,,0.5899,0.25,0.5169,0.4743,0.4089,0.2816,0.055,,0.196,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,5.55,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
2001-03,1.22,7.89,58.63,32.36,58.63,63.67,,,2.25,38.9,,38.9,7.89,,,,,,,,,,,,,,,,,,,,,,,,38.9,,38.9,2.32,1.68,3.94,10.02,3.94,10.02,3.94,10.02,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.23,30.33,,,0.05,,,,,,0.5899,0.25,0.5169,0.4743,0.4089,0.2816,0.055,,0.196,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,5.55,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
2001-04,1.22,7.89,58.63,32.36,58.63,63.67,,,2.25,38.9,,38.9,7.89,,,,,,,,,,,,,,,,,,,,,,,,38.9,,38.9,2.32,1.68,3.94,10.02,3.94,10.02,3.94,10.02,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.23,30.33,,,0.05,,,,,,0.5899,0.25,0.5169,0.4743,0.4089,0.2816,0.055,,0.196,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,5.55,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
2001-05,1.22,7.89,58.63,32.36,58.63,63.67,,,2.25,38.9,,38.9,7.89,,,,,,,,,,,,,,,,,,,,,,,,38.9,,38.9,2.32,1.68,3.94,10.02,3.94,10.02,3.94,10.02,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.23,30.33,,,0.05,,,,,,0.5899,0.25,0.5169,0.4743,0.4089,0.2816,0.055,,0.196,,0.021,,,,,,,0.3,0.07,0.24,0.07,0.0,0.07,0.19,,,,,,0.18,,,,0.09,834.51,1449.79,,,,0.53,0.13,,,5.55,,8.35,3.35,3.35,1.16,,,,,,,,,,,,,,,,,,,53.36,213.43,,,,,,1.3,2.59,,,,,,,,,,
